26 22
xxx xxxxxxxxxxxxx xx xxxx 
x xx x xxxxx   xx xxxx xx 
xxxxxx  x x x xx xx xxxx  
x xxxxxxxxx x  xx x    xx 
  xx xxx xxxx   x   x x x 
xx  xx xxxx  xxxxx xxxxxx 
xxxxx  xxx x xx xx xxxxxx 
x   xxxxxxxxx xxxx xx x x 
 xxx  xx   xx xxxxxxxxxxx 
xxx xxx xx x   xxx  x xxx 
xx  x    xx xxxx x x xxx  
xx  x    xx xxxx x x xxx  
xxx xxx xx x   xxx  x xxx 
 xxx  xx   xx xxxxxxxxxxx 
x   xxxxxxxxx xxxx xx x x 
xxxxx  xxx x xx xx xxxxxx 
xx  xx xxxx  xxxxx xxxxxx 
  xx xxx xxxx   x   x x x 
x xxxxxxxxx x  xx x    xx 
xxxxxx  x x x xx xx xxxx  
x xx x xxxxx   xx xxxx xx 
xxx xxxxxxxxxxxxx xx xxxx 

